id,title,type,url
VJFHZCPK,"Debug Servlets, or 'HTTP won; use it' - philz",Web Page,http://omel.ette.org/blog/2013/02/06/debug-servlets/
756N5D2Q,Decision management systems a practical guide to using business rules and predictive analytics,Book,http://www.worldcat.org/search?q=isbn%3A9780132884471
WF7ABW53,Dedupe,Software,https://github.com/open-city/dedupe
RR8MGUD7,Deep Dive with Spark Streaming - Tathagata  Das - Spark Meetup 2013...,Presentation,http://www.slideshare.net/spark-project/deep-divewithsparkstreaming-tathagatadassparkmeetup20130617
55PTV2FT,Designing Great Data Products,Book,http://www.worldcat.org/search?q=isbn%3A
RAT77VPI,Designing Query Optimizers for Big Data Problems of The Future,Journal Article,http://db.disi.unitn.eu/pages/VLDBProgram/pdf/flash/Vertica.pdf
H79JIQ4D,Designing information: human factors and common sense in information design,Book,http://www.worldcat.org/search?q=isbn%3A9781118341971
FPS5DCPQ,Developing a D3.js Edge,Book,http://www.worldcat.org/search?q=isbn%3A
4WN3FX56,Dex,Software,http://dexvis.com/
KDK7CSEI,DexCharts,Software,https://github.com/PatMartin/DexCharts
D8AJD8FW,Digital marketing analytics making sense of consumer data in a digital world,Book,http://www.worldcat.org/search?q=isbn%3A9780133150933
9P9H78AC,Disco,Software,https://github.com/discoproject/disco
PM97WBC6,Distributed R for Big Data,Blog Post,http://www.vertica.com/2013/02/21/presto-distributed-r-for-big-data/
EJFH35B4,Distributed training strategies for the structured perceptron,Conference Paper,http://dl.acm.org/citation.cfm?id=1857999.1858068
G9DCQEHP,Doing data science.,Book,http://www.worldcat.org/search?q=isbn%3A1449358659
IE6PSAUG,Domesticating Pig with Lipstick,Blog Post,http://blog.mortardata.com/post/60765120319/domesticating-pig-with-lipstick
62MFDZ2S,Dremel: interactive analysis of web-scale datasets,Journal Article,http://dl.acm.org/citation.cfm?id=1920886
6HDEKGPB,Drive Smarter Decisions with Big Data Using Complex Event Processing,Presentation,http://www.slideshare.net/perficientinc/drive-smarter-decisions-with-big-data-using-complex-event-processing
QGNIECAZ,Drools,Software,http://www.jboss.org/drools/
RFWMRB4J,Druid,Software,http://druid.io/
3P8TG47K,Dumbo,Software,https://github.com/klbostee/dumbo
5BANT8GN,EPD,Software,http://www.enthought.com/
VPFWMHXX,ElasticSearch,Software,https://github.com/elasticsearch/elasticsearch
EB3PMHB4,ElasticSearch: Text analysis for content enrichment,Blog Post,http://jaibeermalik.wordpress.com/2013/03/26/elasticsearch-text-analysis-for-content-enrichment/
QJW2Z3PS,Elasticity,Software,https://github.com/rslifka/elasticity
5MVFIHCI,Elasticsearch Hadoop,Software,https://github.com/elasticsearch/elasticsearch-hadoop
9R7IXAST,"Elasticsearch server: create a fast, scalable, and flexible search solution with the emerging open source search server, ElasticSearch",Book,http://www.worldcat.org/search?q=isbn%3A9781849518444
426DMPZZ,Elephant,Software,https://github.com/kennethreitz/elephant
9E32GU4B,Elephant Bird,Software,https://github.com/kevinweil/elephant-bird
GE25DMUZ,Elephant Twin,Software,https://github.com/twitter/elephant-twin
CHG379Q2,ElephantDB,Software,https://github.com/nathanmarz/elephantdb
E9KCUJ25,"Enterprise analytics: optimize performance, process and decisions through big data",Book,http://www.worldcat.org/search?q=isbn%3A9780133039436
Q48N27GP,Enterprise data workflows with cascading.,Book,http://www.worldcat.org/search?q=isbn%3A1449358721
IB5T6ISC,Ericsson Labs | HBase: Performance Tuners,Blog Post,http://labs.ericsson.com/blog/hbase-performance-tuners
G27XKXIT,Esper,Software,http://esper.codehaus.org/
UAGIGGP9,Essential Collection of Visualisation Resources,Web Page,http://www.visualisingdata.com/index.php/resources/
XSUWS2GG,Ethics of big data,Book,http://www.worldcat.org/search?q=isbn%3A9781449311797
